candidate_size,repetition,original_length,reconstructed_length,spectrum_size,levenshtein_similarity,execution_time
5,1,300,300,292,47.66666666666667,0.01783132553100586
5,2,300,300,292,49.33333333333333,0.04644584655761719
5,3,300,300,292,45.666666666666664,0.11201167106628418
10,1,300,300,292,50.66666666666666,0.04426431655883789
10,2,300,300,292,51.66666666666666,0.00921010971069336
10,3,300,300,292,48.66666666666667,0.06813478469848633
15,1,300,300,292,50.33333333333334,0.07096719741821289
15,2,300,300,292,43.00000000000001,0.10482907295227051
15,3,300,300,292,45.666666666666664,0.04563021659851074
20,1,300,300,292,47.66666666666667,0.08769941329956055
20,2,300,300,292,48.0,0.07110428810119629
20,3,300,300,292,51.0,0.0540461540222168
25,1,300,300,292,54.333333333333336,0.025534629821777344
25,2,300,300,292,50.33333333333334,0.12296342849731445
25,3,300,300,292,51.33333333333333,0.019356250762939453
